state_id,race_id,state_pop_race_count,state_pop_race_percentage
6,1,23453210,0.597
6,2,5692422,0.1449
6,3,5481789,0.1395
6,4,2274113,0.0579
6,5,1922661,0.0489
6,6,303998,0.0077
6,7,155290,0.004
48,1,20903340,0.7397
48,4,3428214,0.1213
48,3,1643865,0.0582
48,2,1357269,0.048
48,5,761411,0.0269
48,6,141425,0.005
48,7,25292,0.0009
11,1,15702210,0.7512
11,4,3359034,0.1607
11,3,625079,0.0299
11,5,572021,0.0274
11,2,571276,0.0273
11,6,59320,0.0028
11,7,12653,0.0006
35,1,12459680,0.6366
35,4,3065467,0.1566
35,3,1694965,0.0866
35,2,1647607,0.0842
35,5,616257,0.0315
35,6,79512,0.0041
35,7,8821,0.0005
42,1,10300599,0.8053
42,4,1430661,0.1118
42,2,436324,0.0341
42,5,319874,0.025
42,3,275177,0.0215
42,6,24691,0.0019
42,7,4198,0.0003
16,1,9134900,0.7153
16,4,1813592,0.142
16,3,757231,0.0593
16,2,698524,0.0547
16,5,328446,0.0257
16,6,33460,0.0026
16,7,4477,0.0004
39,1,9476052,0.813
39,4,1446196,0.1241
39,5,335426,0.0288
39,2,258199,0.0222
39,3,112836,0.0097
39,6,22816,0.002
39,7,3880,0.0003
12,1,6098894,0.5862
12,4,3289022,0.3161
12,2,414481,0.0398
12,3,291872,0.0281
12,5,265912,0.0256
12,6,37440,0.0036
12,7,6233,0.0006
36,1,7049921,0.6868
36,4,2200760,0.2144
36,3,316763,0.0309
36,2,292992,0.0285
36,5,273276,0.0266
36,6,123952,0.0121
36,7,7213,0.0007
25,1,7813755,0.7841
25,4,1374310,0.1379
25,2,311721,0.0313
25,5,291259,0.0292
25,3,117801,0.0118
25,6,53316,0.0054
25,7,3099,0.0003
33,1,6018070,0.6778
33,4,1194881,0.1346
33,2,840168,0.0946
33,3,558665,0.0629
33,5,243545,0.0274
33,6,19711,0.0022
33,7,3458,0.0004
52,1,5717618,0.6763
52,4,1621596,0.1918
52,2,541133,0.064
52,5,320275,0.0379
52,3,223794,0.0265
52,6,23873,0.0028
52,7,6179,0.0007
53,1,5581123,0.7538
53,2,631333,0.0853
53,5,433386,0.0585
53,3,333038,0.045
53,4,281683,0.038
53,6,94449,0.0128
53,7,49090,0.0066
4,1,5444460,0.7722
4,3,460262,0.0653
4,4,317462,0.045
4,6,317414,0.045
4,5,263037,0.0373
4,2,233213,0.0331
4,7,14458,0.0021
47,1,5205134,0.7758
47,4,1124475,0.1676
47,5,147536,0.022
47,2,117600,0.0175
47,3,92655,0.0138
47,6,18189,0.0027
47,7,3771,0.0006
24,1,5348539,0.7807
24,4,522357,0.0763
24,2,452436,0.066
24,3,286619,0.0418
24,5,223035,0.0326
24,6,14764,0.0022
24,7,2804,0.0004
17,1,5553390,0.8331
17,4,626587,0.094
17,5,169711,0.0255
17,2,151979,0.0228
17,3,145747,0.0219
17,6,15782,0.0024
17,7,2506,0.0004
28,1,5015903,0.8216
28,4,701334,0.1149
28,5,160368,0.0263
28,2,120654,0.0198
28,3,71335,0.0117
28,6,27084,0.0044
28,7,8231,0.0013
23,1,3343000,0.5554
23,4,1799098,0.2989
23,2,378126,0.0628
23,3,272137,0.0452
23,5,206692,0.0343
23,6,16762,0.0028
23,7,3034,0.0005
7,1,4712573,0.84
7,4,233647,0.0416
7,3,216767,0.0386
7,5,205724,0.0367
7,2,178147,0.0318
7,6,54847,0.0098
7,7,8643,0.0015
55,1,4946962,0.8543
55,4,371200,0.0641
55,2,161841,0.0279
55,5,138572,0.0239
55,3,118350,0.0204
55,6,51392,0.0089
55,7,2400,0.0004
26,1,4609053,0.8285
26,4,356515,0.0641
26,2,268181,0.0482
26,5,165396,0.0297
26,3,104032,0.0187
26,6,58011,0.0104
26,7,2194,0.0004
45,1,3372010,0.6716
45,4,1344143,0.2677
45,5,115930,0.0231
45,3,88274,0.0176
45,2,78805,0.0157
45,6,17645,0.0035
45,7,4002,0.0008
1,1,3320248,0.6809
1,4,1299044,0.2664
1,5,92220,0.0189
1,3,70662,0.0145
1,2,66270,0.0136
1,6,25565,0.0052
1,7,2238,0.0005
21,1,2892278,0.6201
21,4,1502967,0.3222
21,5,94959,0.0204
21,2,80806,0.0173
21,3,65592,0.0141
21,6,26361,0.0057
21,7,1406,0.0003
20,1,3868484,0.8695
20,4,358928,0.0807
20,5,100285,0.0225
20,2,65191,0.0147
20,3,43601,0.0098
20,6,9386,0.0021
20,7,3182,0.0007
41,1,3480918,0.8429
