pop_earnings_id,state_id,state_name,state_earning_edu,state_earning_average,state_earning_male,state_earning_female,education_id
1,1,California,Less Than High School,23760,27427,18080,1
6,2,Texas,Less Than High School,23718,28960,16533,1
11,3,Florida,Less Than High School,21982,25628,17624,1
16,4,New York,Less Than High School,23196,26947,18507,1
21,8,Pennsylvania,Less Than High School,25399,30732,18396,1
26,5,Illinois,Less Than High School,25258,29783,19924,1
31,7,Ohio,Less Than High School,22881,27785,16905,1
36,6,Georgia,Less Than High School,23128,26605,17790,1
41,9,North Carolina,Less Than High School,22459,26011,16854,1
46,13,Michigan,Less Than High School,21996,26492,16517,1
51,10,New Jersey,Less Than High School,25024,29748,19396,1
56,16,Virginia,Less Than High School,25054,30376,18443,1
61,29,Washington,Less Than High School,27253,31755,21228,1
66,11,Arizona,Less Than High School,23176,26428,18549,1
71,12,Tennessee,Less Than High School,22491,26222,17471,1
76,15,Massachusetts,Less Than High School,26978,31566,21586,1
81,14,Indiana,Less Than High School,25112,30435,18048,1
86,18,Missouri,Less Than High School,23275,27619,17990,1
91,26,Maryland,Less Than High School,27311,31822,20858,1
96,22,Colorado,Less Than High School,27416,32347,19593,1
101,17,Wisconsin,Less Than High School,26869,31213,20664,1
106,21,Minnesota,Less Than High School,26221,31013,20370,1
111,19,South Carolina,Less Than High School,21391,25135,16002,1
116,20,Alabama,Less Than High School,22172,26478,16189,1
121,23,Louisiana,Less Than High School,21938,28562,15619,1
126,25,Kentucky,Less Than High School,21778,25562,16812,1
131,38,Oregon,Less Than High School,25506,30001,20388,1
136,24,Oklahoma,Less Than High School,24518,29691,16937,1
141,34,Connecticut,Less Than High School,25402,29631,20540,1
146,27,Utah,Less Than High School,27005,32116,19783,1
151,52,Puerto Rico,Less Than High School,10962,11658,9292,1
156,33,Nevada,Less Than High School,27489,30858,23075,1
161,28,Iowa,Less Than High School,28339,32552,20603,1
166,30,Arkansas,Less Than High School,24263,27237,19090,1
171,31,Mississippi,Less Than High School,21933,26974,15938,1
176,32,Kansas,Less Than High School,26088,31079,18536,1
181,36,New Mexico,Less Than High School,20375,25024,14595,1
186,35,Nebraska,Less Than High School,26610,31204,20127,1
191,37,Idaho,Less Than High School,25298,30728,17163,1
196,39,West Virginia,Less Than High School,21292,26282,15450,1
201,50,Hawaii,Less Than High School,27361,31053,24860,1
206,45,New Hampshire,Less Than High School,29284,33198,22771,1
211,48,Maine,Less Than High School,23228,26783,17488,1
216,42,Montana,Less Than High School,21008,27006,14910,1
221,40,Rhode Island,Less Than High School,27880,31891,21758,1
226,44,Delaware,Less Than High School,27060,31458,21011,1
231,41,South Dakota,Less Than High School,25740,29366,19485,1
236,43,North Dakota,Less Than High School,30865,39464,19820,1
241,46,Alaska,Less Than High School,25297,28833,21279,1
251,51,Vermont,Less Than High School,26777,30672,16845,1
256,47,Wyoming,Less Than High School,26671,32896,18191,1
2,1,California,High School Grad,31674,37077,26148,2
7,2,Texas,High School Grad,30683,36743,23862,2
12,3,Florida,High School Grad,27854,31703,23483,2
17,4,New York,High School Grad,32153,39044,26136,2
22,8,Pennsylvania,High School Grad,32000,40291,25419,2
27,5,Illinois,High School Grad,31625,39315,25055,2
32,7,Ohio,High School Grad,31277,38701,24197,2
37,6,Georgia,High School Grad,30264,34648,24322,2
42,9,North Carolina,High School Grad,29278,32969,23360,2
47,13,Michigan,High School Grad,30234,36280,23085,2
52,10,New Jersey,High School Grad,34524,42045,27094,2
57,16,Virginia,High School Grad,31759,38381,25685,2
62,29,Washington,High School Grad,35244,42001,27512,2
67,11,Arizona,High School Grad,30424,33572,25536,2
72,12,Tennessee,High School Grad,29753,34732,23746,2
77,15,Massachusetts,High School Grad,36973,44512,28546,2
82,14,Indiana,High School Grad,31968,40208,24746,2
87,18,Missouri,High School Grad,30658,36773,24162,2
92,26,Maryland,High School Grad,36394,42375,30368,2
97,22,Colorado,High School Grad,33987,39762,27283,2
102,17,Wisconsin,High School Grad,32738,40477,25984,2
107,21,Minnesota,High School Grad,33564,40634,26505,2
112,19,South Carolina,High School Grad,28940,33279,23227,2
117,20,Alabama,High School Grad,29892,36172,22350,2
122,23,Louisiana,High School Grad,30265,40742,21908,2
127,25,Kentucky,High School Grad,30445,36190,23266,2
132,38,Oregon,High School Grad,30815,36061,25236,2
137,24,Oklahoma,High School Grad,30315,37022,23176,2
142,34,Connecticut,High School Grad,37039,44211,29694,2
147,27,Utah,High School Grad,32333,41482,25557,2
152,52,Puerto Rico,High School Grad,15205,15879,13085,2
157,33,Nevada,High School Grad,32067,36540,28197,2
162,28,Iowa,High School Grad,32597,40799,24746,2
167,30,Arkansas,High School Grad,29034,33799,22919,2
172,31,Mississippi,High School Grad,27454,33197,21223,2
177,32,Kansas,High School Grad,30998,37875,23205,2
182,36,New Mexico,High School Grad,27471,31778,22354,2
187,35,Nebraska,High School Grad,31488,38657,24695,2
192,37,Idaho,High School Grad,30417,36137,22015,2
197,39,West Virginia,High School Grad,29353,37571,22263,2
202,50,Hawaii,High School Grad,34129,39132,30106,2
207,45,New Hampshire,High School Grad,36311,43164,28547,2
212,48,Maine,High School Grad,30626,36683,24170,2
217,42,Montana,High School Grad,29187,35589,22431,2
222,40,Rhode Island,High School Grad,36009,42551,29769,2
227,44,Delaware,High School Grad,32656,40373,27175,2
232,41,South Dakota,High School Grad,31248,38115,24335,2
237,43,North Dakota,High School Grad,36245,43971,26044,2
242,46,Alaska,High School Grad,36261,42097,27295,2
252,51,Vermont,High School Grad,32404,38289,26416,2
257,47,Wyoming,High School Grad,34778,47373,23504,2
3,1,California,Some College,39907,47112,32818,3
8,2,Texas,Some College,37934,46389,31172,3
13,3,Florida,Some College,33595,39230,30488,3
18,4,New York,Some College,40430,48104,33947,3
23,8,Pennsylvania,Some College,38381,46864,31548,3
28,5,Illinois,Some College,38395,48471,30836,3
33,7,Ohio,Some College,36098,44753,30274,3
38,6,Georgia,Some College,35222,43597,29573,3
43,9,North Carolina,Some College,33784,41493,28967,3
48,13,Michigan,Some College,35492,44845,29029,3
53,10,New Jersey,Some College,43294,52609,35805,3
58,16,Virginia,Some College,39256,47924,32200,3
63,29,Washington,Some College,41018,50661,32499,3
68,11,Arizona,Some College,36809,43030,31451,3
73,12,Tennessee,Some College,34634,42542,29395,3
78,15,Massachusetts,Some College,42469,51971,35774,3
83,14,Indiana,Some College,36600,46702,29754,3
88,18,Missouri,Some College,35102,42861,29850,3
93,26,Maryland,Some College,44455,52838,38554,3
98,22,Colorado,Some College,39197,46570,31915,3
103,17,Wisconsin,Some College,38901,47841,31511,3
108,21,Minnesota,Some College,40979,49328,33836,3
113,19,South Carolina,Some College,34096,42705,28285,3
118,20,Alabama,Some College,33590,44083,27354,3
123,23,Louisiana,Some College,34454,46939,27545,3
128,25,Kentucky,Some College,34220,43297,28397,3
133,38,Oregon,Some College,35639,42707,30136,3
138,24,Oklahoma,Some College,35042,43975,28521,3
143,34,Connecticut,Some College,43570,52768,36633,3
148,27,Utah,Some College,36700,47256,27184,3
153,52,Puerto Rico,Some College,17412,19285,16175,3
158,33,Nevada,Some College,37952,43626,32409,3
163,28,Iowa,Some College,37900,46621,30589,3
168,30,Arkansas,Some College,32053,40068,27468,3
173,31,Mississippi,Some College,31773,41202,26416,3
178,32,Kansas,Some College,36097,44471,29414,3
183,36,New Mexico,Some College,31676,40028,26538,3
188,35,Nebraska,Some College,37348,46021,30342,3
193,37,Idaho,Some College,32256,41902,25531,3
198,39,West Virginia,Some College,32352,43719,26566,3
