pop_edu_attain_id,state_id,state_name,state_edu_attained,state_edu_attained_count,state_edu_attained_percentage,education_id
1,1,California,Less Than 9th Grade,2432990.0,0.0919,1
8,2,Texas,Less Than 9th Grade,1482950.0,0.0818,1
15,3,Florida,Less Than 9th Grade,718909.0,0.048,1
22,4,New York,Less Than 9th Grade,838231.0,0.0615,1
29,8,Pennsylvania,Less Than 9th Grade,284062.0,0.0317,1
36,5,Illinois,Less Than 9th Grade,419259.0,0.0483,1
43,7,Ohio,Less Than 9th Grade,221376.0,0.0278,1
50,6,Georgia,Less Than 9th Grade,318461.0,0.0462,1
57,9,North Carolina,Less Than 9th Grade,314545.0,0.045,1
64,13,Michigan,Less Than 9th Grade,194755.0,0.0286,1
71,10,New Jersey,Less Than 9th Grade,298624.0,0.0486,1
78,16,Virginia,Less Than 9th Grade,236292.0,0.0409,1
85,29,Washington,Less Than 9th Grade,186275.0,0.0365,1
92,11,Arizona,Less Than 9th Grade,257948.0,0.0545,1
99,12,Tennessee,Less Than 9th Grade,210732.0,0.0459,1
106,15,Massachusetts,Less Than 9th Grade,208460.0,0.0436,1
113,14,Indiana,Less Than 9th Grade,163176.0,0.0368,1
120,18,Missouri,Less Than 9th Grade,130008.0,0.0313,1
127,26,Maryland,Less Than 9th Grade,164399.0,0.0397,1
134,22,Colorado,Less Than 9th Grade,129123.0,0.0338,1
141,17,Wisconsin,Less Than 9th Grade,105122.0,0.0266,1
148,21,Minnesota,Less Than 9th Grade,109319.0,0.029,1
155,19,South Carolina,Less Than 9th Grade,139634.0,0.0405,1
162,20,Alabama,Less Than 9th Grade,142999.0,0.0431,1
169,23,Louisiana,Less Than 9th Grade,152013.0,0.0486,1
176,25,Kentucky,Less Than 9th Grade,166412.0,0.0551,1
183,38,Oregon,Less Than 9th Grade,102714.0,0.0354,1
190,24,Oklahoma,Less Than 9th Grade,104449.0,0.0403,1
197,34,Connecticut,Less Than 9th Grade,99837.0,0.0402,1
204,27,Utah,Less Than 9th Grade,48701.0,0.0267,1
211,52,Puerto Rico,Less Than 9th Grade,358915.0,0.153,1
218,33,Nevada,Less Than 9th Grade,112207.0,0.0549,1
225,28,Iowa,Less Than 9th Grade,63936.0,0.0306,1
232,30,Arkansas,Less Than 9th Grade,97346.0,0.0484,1
239,31,Mississippi,Less Than 9th Grade,99936.0,0.0506,1
246,32,Kansas,Less Than 9th Grade,68104.0,0.0358,1
253,36,New Mexico,Less Than 9th Grade,84492.0,0.0602,1
260,35,Nebraska,Less Than 9th Grade,47833.0,0.0382,1
267,37,Idaho,Less Than 9th Grade,37255.0,0.0334,1
274,39,West Virginia,Less Than 9th Grade,55033.0,0.0427,1
281,50,Hawaii,Less Than 9th Grade,36701.0,0.037,1
288,45,New Hampshire,Less Than 9th Grade,20410.0,0.0213,1
295,48,Maine,Less Than 9th Grade,24984.0,0.0256,1
302,42,Montana,Less Than 9th Grade,13743.0,0.019,1
309,40,Rhode Island,Less Than 9th Grade,37440.0,0.0508,1
316,44,Delaware,Less Than 9th Grade,23675.0,0.0354,1
323,41,South Dakota,Less Than 9th Grade,17046.0,0.0298,1
330,43,North Dakota,Less Than 9th Grade,15165.0,0.0306,1
337,46,Alaska,Less Than 9th Grade,12046.0,0.0251,1
351,51,Vermont,Less Than 9th Grade,9874.0,0.0224,1
358,47,Wyoming,Less Than 9th Grade,7025.0,0.018,1
2,1,California,9th to 12th Grade,1985680.0,0.075,2
9,2,Texas,9th to 12th Grade,1475010.0,0.0814,2
16,3,Florida,9th to 12th Grade,1048670.0,0.0701,2
23,4,New York,9th to 12th Grade,958363.0,0.0703,2
30,8,Pennsylvania,9th to 12th Grade,564848.0,0.0631,2
37,5,Illinois,9th to 12th Grade,517783.0,0.0596,2
44,7,Ohio,9th to 12th Grade,546002.0,0.0685,2
51,6,Georgia,9th to 12th Grade,567037.0,0.0823,2
58,9,North Carolina,9th to 12th Grade,538851.0,0.0772,2
65,13,Michigan,9th to 12th Grade,431435.0,0.0633,2
72,10,New Jersey,9th to 12th Grade,327307.0,0.0533,2
79,16,Virginia,9th to 12th Grade,359056.0,0.0622,2
86,29,Washington,9th to 12th Grade,256174.0,0.0502,2
93,11,Arizona,9th to 12th Grade,350689.0,0.0741,2
100,12,Tennessee,9th to 12th Grade,364396.0,0.0794,2
107,15,Massachusetts,9th to 12th Grade,233484.0,0.0488,2
114,14,Indiana,9th to 12th Grade,332214.0,0.075,2
121,18,Missouri,9th to 12th Grade,288258.0,0.0695,2
128,26,Maryland,9th to 12th Grade,241064.0,0.0582,2
135,22,Colorado,9th to 12th Grade,186628.0,0.0488,2
142,17,Wisconsin,9th to 12th Grade,203094.0,0.0513,2
149,21,Minnesota,9th to 12th Grade,149072.0,0.0396,2
156,19,South Carolina,9th to 12th Grade,290857.0,0.0844,2
163,20,Alabama,9th to 12th Grade,315923.0,0.0951,2
170,23,Louisiana,9th to 12th Grade,309693.0,0.0991,2
177,25,Kentucky,9th to 12th Grade,248372.0,0.0823,2
184,38,Oregon,9th to 12th Grade,166536.0,0.0574,2
191,24,Oklahoma,9th to 12th Grade,206004.0,0.0795,2
198,34,Connecticut,9th to 12th Grade,132826.0,0.0535,2
205,27,Utah,9th to 12th Grade,92099.0,0.0505,2
212,52,Puerto Rico,9th to 12th Grade,191267.0,0.0815,2
219,33,Nevada,9th to 12th Grade,159925.0,0.0782,2
226,28,Iowa,9th to 12th Grade,101578.0,0.0485,2
233,30,Arkansas,9th to 12th Grade,172822.0,0.0859,2
240,31,Mississippi,9th to 12th Grade,206169.0,0.1044,2
247,32,Kansas,9th to 12th Grade,104022.0,0.0547,2
254,36,New Mexico,9th to 12th Grade,117758.0,0.0839,2
261,35,Nebraska,9th to 12th Grade,59702.0,0.0477,2
268,37,Idaho,9th to 12th Grade,65674.0,0.0589,2
275,39,West Virginia,9th to 12th Grade,113591.0,0.0882,2
282,50,Hawaii,9th to 12th Grade,43020.0,0.0433,2
289,45,New Hampshire,9th to 12th Grade,45796.0,0.0477,2
296,48,Maine,9th to 12th Grade,47001.0,0.0482,2
303,42,Montana,9th to 12th Grade,32907.0,0.0455,2
310,40,Rhode Island,9th to 12th Grade,45027.0,0.0611,2
317,44,Delaware,9th to 12th Grade,43141.0,0.0645,2
324,41,South Dakota,9th to 12th Grade,30195.0,0.0528,2
331,43,North Dakota,9th to 12th Grade,21229.0,0.0429,2
338,46,Alaska,9th to 12th Grade,22330.0,0.0465,2
352,51,Vermont,9th to 12th Grade,22402.0,0.0509,2
359,47,Wyoming,9th to 12th Grade,19663.0,0.0504,2
3,1,California,High School Graduate,5423460.0,0.2049,3
10,2,Texas,High School Graduate,4525100.0,0.2496,3
17,3,Florida,High School Graduate,4276240.0,0.2857,3
24,4,New York,High School Graduate,3541270.0,0.2598,3
31,8,Pennsylvania,High School Graduate,3106570.0,0.3469,3
38,5,Illinois,High School Graduate,2254520.0,0.2595,3
45,7,Ohio,High School Graduate,2635000.0,0.3304,3
52,6,Georgia,High School Graduate,1909070.0,0.2771,3
59,9,North Carolina,High School Graduate,1791530.0,0.2565,3
66,13,Michigan,High School Graduate,1967320.0,0.2887,3
73,10,New Jersey,High School Graduate,1670940.0,0.2719,3
80,16,Virginia,High School Graduate,1383770.0,0.2395,3
87,29,Washington,High School Graduate,1122330.0,0.22,3
94,11,Arizona,High School Graduate,1129130.0,0.2386,3
101,12,Tennessee,High School Graduate,1472000.0,0.3209,3
108,15,Massachusetts,High School Graduate,1148520.0,0.2402,3
115,14,Indiana,High School Graduate,1480080.0,0.3341,3
122,18,Missouri,High School Graduate,1270620.0,0.3062,3
129,26,Maryland,High School Graduate,1018650.0,0.2461,3
136,22,Colorado,High School Graduate,817452.0,0.2137,3
143,17,Wisconsin,High School Graduate,1211980.0,0.3064,3
150,21,Minnesota,High School Graduate,928450.0,0.2465,3
157,19,South Carolina,High School Graduate,1003180.0,0.291,3
164,20,Alabama,High School Graduate,1022840.0,0.308,3
171,23,Louisiana,High School Graduate,1061390.0,0.3396,3
178,25,Kentucky,High School Graduate,993098.0,0.3289,3
185,38,Oregon,High School Graduate,659085.0,0.2274,3
192,24,Oklahoma,High School Graduate,812102.0,0.3133,3
199,34,Connecticut,High School Graduate,666828.0,0.2685,3
206,27,Utah,High School Graduate,416545.0,0.2284,3
213,52,Puerto Rico,High School Graduate,655680.0,0.2795,3
220,33,Nevada,High School Graduate,574254.0,0.2809,3
227,28,Iowa,High School Graduate,648398.0,0.3098,3
234,30,Arkansas,High School Graduate,684659.0,0.3403,3
241,31,Mississippi,High School Graduate,601355.0,0.3044,3
248,32,Kansas,High School Graduate,492807.0,0.2591,3
255,36,New Mexico,High School Graduate,371338.0,0.2646,3
262,35,Nebraska,High School Graduate,326594.0,0.2611,3
269,37,Idaho,High School Graduate,305181.0,0.2736,3
276,39,West Virginia,High School Graduate,519091.0,0.4032,3
283,50,Hawaii,High School Graduate,271648.0,0.2736,3
290,45,New Hampshire,High School Graduate,263321.0,0.2742,3
297,48,Maine,High School Graduate,306589.0,0.3147,3
304,42,Montana,High School Graduate,208541.0,0.2883,3
311,40,Rhode Island,High School Graduate,208387.0,0.2827,3
318,44,Delaware,High School Graduate,209449.0,0.3129,3
325,41,South Dakota,High School Graduate,173079.0,0.3024,3
332,43,North Dakota,High School Graduate,130842.0,0.2643,3
339,46,Alaska,High School Graduate,134582.0,0.28,3
353,51,Vermont,High School Graduate,126832.0,0.288,3
360,47,Wyoming,High School Graduate,113535.0,0.2907,3
4,1,California,Some College,5574860.0,0.2106,4
11,2,Texas,Some College,3918820.0,0.2161,4
18,3,Florida,Some College,2981480.0,0.1992,4
25,4,New York,Some College,2118020.0,0.1554,4
32,8,Pennsylvania,Some College,1426120.0,0.1593,4
39,5,Illinois,Some College,1784180.0,0.2054,4
46,7,Ohio,Some College,1626960.0,0.204,4
53,6,Georgia,Some College,1397950.0,0.2029,4
60,9,North Carolina,Some College,1480930.0,0.2121,4
67,13,Michigan,Some College,1591360.0,0.2336,4
74,10,New Jersey,Some College,1006680.0,0.1638,4
81,16,Virginia,Some College,1108670.0,0.1919,4
88,29,Washington,Some College,1189880.0,0.2332,4
95,11,Arizona,Some College,1191930.0,0.2519,4
102,12,Tennessee,Some College,951755.0,0.2075,4
109,15,Massachusetts,Some College,738484.0,0.1544,4
116,14,Indiana,Some College,894953.0,0.202,4
123,18,Missouri,Some College,919879.0,0.2217,4
130,26,Maryland,Some College,774331.0,0.1871,4
137,22,Colorado,Some College,805339.0,0.2105,4
144,17,Wisconsin,Some College,814749.0,0.206,4
151,21,Minnesota,Some College,789467.0,0.2096,4
158,19,South Carolina,Some College,706771.0,0.205,4
165,20,Alabama,Some College,711028.0,0.2141,4
172,23,Louisiana,Some College,654347.0,0.2094,4
179,25,Kentucky,Some College,628993.0,0.2083,4
186,38,Oregon,Some College,737003.0,0.2542,4
193,24,Oklahoma,Some College,604637.0,0.2333,4
