pop_earnings_id,state_id,state_name,state_earning_edu,state_earning_average,state_earning_male,state_earning_female,education_id
1,20,Alabama,Less Than High School,22172,26478,16189,1
2,20,Alabama,High School Grad,29892,36172,22350,3
3,20,Alabama,Some College,33590,44083,27354,4
4,20,Alabama,Bachelors Degree,50516,64767,41331,6
5,20,Alabama,Graduate Degree,60823,83273,53388,7
6,46,Alaska,Less Than High School,25297,28833,21279,1
7,46,Alaska,High School Grad,36261,42097,27295,3
8,46,Alaska,Some College,44630,53836,36263,4
9,46,Alaska,Bachelors Degree,57703,69741,48429,6
10,46,Alaska,Graduate Degree,76638,87626,70144,7
11,11,Arizona,Less Than High School,23176,26428,18549,1
12,11,Arizona,High School Grad,30424,33572,25536,3
13,11,Arizona,Some College,36809,43030,31451,4
14,11,Arizona,Bachelors Degree,52892,64232,44561,6
15,11,Arizona,Graduate Degree,67140,84402,55394,7
16,1,Arkansas,Less Than High School,24263,27237,19090,1
17,30,Arkansas,High School Grad,29034,33799,22919,3
18,30,Arkansas,Some College,32053,40068,27468,4
19,30,Arkansas,Bachelors Degree,47466,58917,41082,6
20,30,Arkansas,Graduate Degree,61057,76266,53961,7
21,1,California,Less Than High School,23760,27427,18080,1
22,1,California,High School Grad,31674,37077,26148,3
23,1,California,Some College,39907,47112,32818,4
24,1,California,Bachelors Degree,63230,75794,53357,6
25,1,California,Graduate Degree,89605,107203,75768,7
26,22,Colorado,Less Than High School,27416,32347,19593,1
27,22,Colorado,High School Grad,33987,39762,27283,3
28,22,Colorado,Some College,39197,46570,31915,4
29,22,Colorado,Bachelors Degree,54487,67534,45208,6
30,22,Colorado,Graduate Degree,70373,89110,57521,7
31,34,Connecticut,Less Than High School,25402,29631,20540,1
32,34,Connecticut,High School Grad,37039,44211,29694,3
33,34,Connecticut,Some College,43570,52768,36633,4
34,34,Connecticut,Bachelors Degree,64843,80537,52985,6
35,34,Connecticut,Graduate Degree,85052,105204,71445,7
36,44,Delaware,Less Than High School,27060,31458,21011,1
37,44,Delaware,High School Grad,32656,40373,27175,3
38,44,Delaware,Some College,39090,45928,32950,4
39,44,Delaware,Bachelors Degree,57420,66333,50628,6
40,44,Delaware,Graduate Degree,72013,85304,65156,7
41,49,District of Columbia,Less Than High School,25459,29132,21664,1
42,49,District of Columbia,High School Grad,31226,32183,30098,3
43,49,District of Columbia,Some College,41102,42372,39465,4
44,49,District of Columbia,Bachelors Degree,69745,77874,62978,6
45,49,District of Columbia,Graduate Degree,97039,106773,87323,7
46,3,Florida,Less Than High School,21982,25628,17624,1
47,3,Florida,High School Grad,27854,31703,23483,3
48,3,Florida,Some College,33595,39230,30488,4
49,3,Florida,Bachelors Degree,47440,56204,41640,6
50,3,Florida,Graduate Degree,62789,79648,53513,7
51,6,Georgia,Less Than High School,23128,26605,17790,1
52,6,Georgia,High School Grad,30264,34648,24322,3
53,6,Georgia,Some College,35222,43597,29573,4
54,6,Georgia,Bachelors Degree,53783,67378,44919,6
55,6,Georgia,Graduate Degree,67503,86620,58871,7
56,50,Hawaii,Less Than High School,27361,31053,24860,1
57,50,Hawaii,High School Grad,34129,39132,30106,3
58,50,Hawaii,Some College,40528,47559,34880,4
59,50,Hawaii,Bachelors Degree,51652,61224,45553,6
60,50,Hawaii,Graduate Degree,70271,82246,61958,7
61,37,Idaho,Less Than High School,25298,30728,17163,1
62,37,Idaho,High School Grad,30417,36137,22015,3
63,37,Idaho,Some College,32256,41902,25531,4
64,37,Idaho,Bachelors Degree,45248,58261,36034,6
65,37,Idaho,Graduate Degree,62750,76910,51312,7
66,5,Illinois,Less Than High School,25258,29783,19924,1
67,5,Illinois,High School Grad,31625,39315,25055,3
68,5,Illinois,Some College,38395,48471,30836,4
69,5,Illinois,Bachelors Degree,58803,72286,48829,6
70,5,Illinois,Graduate Degree,76258,95641,64162,7
71,14,Indiana,Less Than High School,25112,30435,18048,1
72,14,Indiana,High School Grad,31968,40208,24746,3
73,14,Indiana,Some College,36600,46702,29754,4
74,14,Indiana,Bachelors Degree,50751,63919,41777,6
75,14,Indiana,Graduate Degree,64207,78707,55776,7
76,28,Iowa,Less Than High School,28339,32552,20603,1
77,28,Iowa,High School Grad,32597,40799,24746,3
78,28,Iowa,Some College,37900,46621,30589,4
79,28,Iowa,Bachelors Degree,51947,63035,43412,6
80,28,Iowa,Graduate Degree,67050,79523,61037,7
81,32,Kansas,Less Than High School,26088,31079,18536,1
82,32,Kansas,High School Grad,30998,37875,23205,3
83,32,Kansas,Some College,36097,44471,29414,4
84,32,Kansas,Bachelors Degree,50394,63214,41623,6
85,32,Kansas,Graduate Degree,62748,79448,54117,7
86,25,Kentucky,Less Than High School,21778,25562,16812,1
87,25,Kentucky,High School Grad,30445,36190,23266,3
88,25,Kentucky,Some College,34220,43297,28397,4
89,25,Kentucky,Bachelors Degree,49743,59436,42075,6
90,25,Kentucky,Graduate Degree,58942,72541,53915,7
91,23,Louisiana,Less Than High School,21938,28562,15619,1
92,23,Louisiana,High School Grad,30265,40742,21908,3
93,23,Louisiana,Some College,34454,46939,27545,4
94,23,Louisiana,Bachelors Degree,50018,63053,42938,6
95,23,Louisiana,Graduate Degree,60735,80012,52877,7
96,48,Maine,Less Than High School,23228,26783,17488,1
