pop_edu_attain_id,state_id,state_name,state_edu_attained,state_edu_attained_count,state_edu_attained_percentage,education_id
1,1,California,Less Than 9th Grade,2432990,0.0919,1
2,1,California,9th to 12th Grade,1985680,0.075,1
3,1,California,High School Graduate,5423460,0.2049,3
4,1,California,Some College,5574860,0.2106,4
5,1,California,Associates Degree,2073820,0.0783,5
6,1,California,Bachelors Degree,5603050,0.2117,6
7,1,California,Graduate Degree,3377680,0.1276,7
8,2,Texas,Less Than 9th Grade,1482950,0.0818,1
9,2,Texas,9th to 12th Grade,1475010,0.0814,1
10,2,Texas,High School Graduate,4525100,0.2496,3
11,2,Texas,Some College,3918820,0.2161,4
12,2,Texas,Associates Degree,1309000,0.0722,5
13,2,Texas,Bachelors Degree,3534710,0.1949,6
14,2,Texas,Graduate Degree,1885960,0.104,7
15,3,Florida,Less Than 9th Grade,718909,0.048,1
16,3,Florida,9th to 12th Grade,1048670,0.0701,1
17,3,Florida,High School Graduate,4276240,0.2857,3
18,3,Florida,Some College,2981480,0.1992,4
19,3,Florida,Associates Degree,1468740,0.0981,5
20,3,Florida,Bachelors Degree,2827940,0.189,6
21,3,Florida,Graduate Degree,1643760,0.1098,7
22,4,New York,Less Than 9th Grade,838231,0.0615,1
23,4,New York,9th to 12th Grade,958363,0.0703,1
24,4,New York,High School Graduate,3541270,0.2598,3
25,4,New York,Some College,2118020,0.1554,4
26,4,New York,Associates Degree,1190240,0.0873,5
27,4,New York,Bachelors Degree,2799880,0.2054,6
28,4,New York,Graduate Degree,2185930,0.1604,7
29,8,Pennsylvania,Less Than 9th Grade,284062,0.0317,1
30,8,Pennsylvania,9th to 12th Grade,564848,0.0631,1
31,8,Pennsylvania,High School Graduate,3106570,0.3469,3
32,8,Pennsylvania,Some College,1426120,0.1593,4
33,8,Pennsylvania,Associates Degree,758348,0.0847,5
34,8,Pennsylvania,Bachelors Degree,1701360,0.19,6
35,8,Pennsylvania,Graduate Degree,1112920,0.1243,7
36,5,Illinois,Less Than 9th Grade,419259,0.0483,1
37,5,Illinois,9th to 12th Grade,517783,0.0596,1
38,5,Illinois,High School Graduate,2254520,0.2595,3
39,5,Illinois,Some College,1784180,0.2054,4
40,5,Illinois,Associates Degree,700533,0.0806,5
41,5,Illinois,Bachelors Degree,1831440,0.2108,6
42,5,Illinois,Graduate Degree,1178590,0.1357,7
43,7,Ohio,Less Than 9th Grade,221376,0.0278,1
44,7,Ohio,9th to 12th Grade,546002,0.0685,1
45,7,Ohio,High School Graduate,2635000,0.3304,3
46,7,Ohio,Some College,1626960,0.204,4
47,7,Ohio,Associates Degree,691111,0.0867,5
48,7,Ohio,Bachelors Degree,1401610,0.1757,6
49,7,Ohio,Graduate Degree,853717,0.107,7
50,6,Georgia,Less Than 9th Grade,318461,0.0462,1
51,6,Georgia,9th to 12th Grade,567037,0.0823,1
52,6,Georgia,High School Graduate,1909070,0.2771,3
53,6,Georgia,Some College,1397950,0.2029,4
54,6,Georgia,Associates Degree,538144,0.0781,5
55,6,Georgia,Bachelors Degree,1324800,0.1923,6
56,6,Georgia,Graduate Degree,832815,0.1209,7
57,9,North Carolina,Less Than 9th Grade,314545,0.045,1
58,9,North Carolina,9th to 12th Grade,538851,0.0772,1
59,9,North Carolina,High School Graduate,1791530,0.2565,3
60,9,North Carolina,Some College,1480930,0.2121,4
61,9,North Carolina,Associates Degree,675145,0.0967,5
62,9,North Carolina,Bachelors Degree,1395210,0.1998,6
63,9,North Carolina,Graduate Degree,787639,0.1128,7
64,13,Michigan,Less Than 9th Grade,194755,0.0286,1
65,13,Michigan,9th to 12th Grade,431435,0.0633,1
66,13,Michigan,High School Graduate,1967320,0.2887,3
67,13,Michigan,Some College,1591360,0.2336,4
68,13,Michigan,Associates Degree,643446,0.0944,5
69,13,Michigan,Bachelors Degree,1207830,0.1773,6
70,13,Michigan,Graduate Degree,777341,0.1141,7
71,10,New Jersey,Less Than 9th Grade,298624,0.0486,1
72,10,New Jersey,9th to 12th Grade,327307,0.0533,1
73,10,New Jersey,High School Graduate,1670940,0.2719,3
74,10,New Jersey,Some College,1006680,0.1638,4
75,10,New Jersey,Associates Degree,401872,0.0654,5
76,10,New Jersey,Bachelors Degree,1489650,0.2424,6
77,10,New Jersey,Graduate Degree,951298,0.1548,7
78,16,Virginia,Less Than 9th Grade,236292,0.0409,1
79,16,Virginia,9th to 12th Grade,359056,0.0622,1
80,16,Virginia,High School Graduate,1383770,0.2395,3
81,16,Virginia,Some College,1108670,0.1919,4
82,16,Virginia,Associates Degree,448739,0.0777,5
83,16,Virginia,Bachelors Degree,1272610,0.2203,6
84,16,Virginia,Graduate Degree,967752,0.1675,7
85,29,Washington,Less Than 9th Grade,186275,0.0365,1
86,29,Washington,9th to 12th Grade,256174,0.0502,1
87,29,Washington,High School Graduate,1122330,0.22,3
88,29,Washington,Some College,1189880,0.2332,4
89,29,Washington,Associates Degree,509353,0.0998,5
90,29,Washington,Bachelors Degree,1144540,0.2243,6
91,29,Washington,Graduate Degree,693067,0.1359,7
92,11,Arizona,Less Than 9th Grade,257948,0.0545,1
93,11,Arizona,9th to 12th Grade,350689,0.0741,1
94,11,Arizona,High School Graduate,1129130,0.2386,3
95,11,Arizona,Some College,1191930,0.2519,4
96,11,Arizona,Associates Degree,408312,0.0863,5
97,11,Arizona,Bachelors Degree,869452,0.1837,6
98,11,Arizona,Graduate Degree,525074,0.1109,7
99,12,Tennessee,Less Than 9th Grade,210732,0.0459,1
100,12,Tennessee,9th to 12th Grade,364396,0.0794,1
101,12,Tennessee,High School Graduate,1472000,0.3209,3
102,12,Tennessee,Some College,951755,0.2075,4
103,12,Tennessee,Associates Degree,334362,0.0729,5
104,12,Tennessee,Bachelors Degree,789448,0.1721,6
105,12,Tennessee,Graduate Degree,464697,0.1013,7
106,15,Massachusetts,Less Than 9th Grade,208460,0.0436,1
107,15,Massachusetts,9th to 12th Grade,233484,0.0488,1
108,15,Massachusetts,High School Graduate,1148520,0.2402,3
109,15,Massachusetts,Some College,738484,0.1544,4
110,15,Massachusetts,Associates Degree,363665,0.0761,5
111,15,Massachusetts,Bachelors Degree,1151870,0.2409,6
112,15,Massachusetts,Graduate Degree,937195,0.196,7
113,14,Indiana,Less Than 9th Grade,163176,0.0368,1
114,14,Indiana,9th to 12th Grade,332214,0.075,1
115,14,Indiana,High School Graduate,1480080,0.3341,3
116,14,Indiana,Some College,894953,0.202,4
117,14,Indiana,Associates Degree,387910,0.0876,5
118,14,Indiana,Bachelors Degree,749078,0.1691,6
119,14,Indiana,Graduate Degree,423078,0.0955,7
120,18,Missouri,Less Than 9th Grade,130008,0.0313,1
121,18,Missouri,9th to 12th Grade,288258,0.0695,1
122,18,Missouri,High School Graduate,1270620,0.3062,3
123,18,Missouri,Some College,919879,0.2217,4
124,18,Missouri,Associates Degree,328720,0.0792,5
125,18,Missouri,Bachelors Degree,745843,0.1797,6
126,18,Missouri,Graduate Degree,466719,0.1125,7
127,26,Maryland,Less Than 9th Grade,164399,0.0397,1
128,26,Maryland,9th to 12th Grade,241064,0.0582,1
129,26,Maryland,High School Graduate,1018650,0.2461,3
130,26,Maryland,Some College,774331,0.1871,4
131,26,Maryland,Associates Degree,277837,0.0671,5
132,26,Maryland,Bachelors Degree,891511,0.2154,6
133,26,Maryland,Graduate Degree,771213,0.1863,7
134,22,Colorado,Less Than 9th Grade,129123,0.0338,1
135,22,Colorado,9th to 12th Grade,186628,0.0488,1
136,22,Colorado,High School Graduate,817452,0.2137,3
137,22,Colorado,Some College,805339,0.2105,4
138,22,Colorado,Associates Degree,321903,0.0841,5
139,22,Colorado,Bachelors Degree,981017,0.2564,6
140,22,Colorado,Graduate Degree,584117,0.1527,7
141,17,Wisconsin,Less Than 9th Grade,105122,0.0266,1
142,17,Wisconsin,9th to 12th Grade,203094,0.0513,1
143,17,Wisconsin,High School Graduate,1211980,0.3064,3
144,17,Wisconsin,Some College,814749,0.206,4
145,17,Wisconsin,Associates Degree,429430,0.1086,5
146,17,Wisconsin,Bachelors Degree,780824,0.1974,6
147,17,Wisconsin,Graduate Degree,410505,0.1038,7
148,21,Minnesota,Less Than 9th Grade,109319,0.029,1
149,21,Minnesota,9th to 12th Grade,149072,0.0396,1
150,21,Minnesota,High School Graduate,928450,0.2465,3
151,21,Minnesota,Some College,789467,0.2096,4
152,21,Minnesota,Associates Degree,431425,0.1145,5
153,21,Minnesota,Bachelors Degree,892893,0.237,6
154,21,Minnesota,Graduate Degree,466274,0.1238,7
155,19,South Carolina,Less Than 9th Grade,139634,0.0405,1
156,19,South Carolina,9th to 12th Grade,290857,0.0844,1
157,19,South Carolina,High School Graduate,1003180,0.291,3
158,19,South Carolina,Some College,706771,0.205,4
159,19,South Carolina,Associates Degree,337253,0.0978,5
160,19,South Carolina,Bachelors Degree,614156,0.1782,6
161,19,South Carolina,Graduate Degree,355123,0.103,7
162,20,Alabama,Less Than 9th Grade,142999,0.0431,1
163,20,Alabama,9th to 12th Grade,315923,0.0951,1
164,20,Alabama,High School Graduate,1022840,0.308,3
165,20,Alabama,Some College,711028,0.2141,4
166,20,Alabama,Associates Degree,282316,0.085,5
167,20,Alabama,Bachelors Degree,529178,0.1593,6
168,20,Alabama,Graduate Degree,316594,0.0953,7
169,23,Louisiana,Less Than 9th Grade,152013,0.0486,1
