state_id,state_name,state_initial,state_population,state_pop_growth,state_us_percent,state_density
1,Alabama,AL,4903185,0.0095,0.0147,97
2,Alaska,AK,731545,0.0147,0.0022,1
3,American Samoa,AS,NaN,NaN,NaN,NaN
4,Arizona,AZ,7278717,0.0506,0.0225,66
5,Arkansas,AR,3017804,0.008,0.0091,58
6,California,CA,39512223,0.0038,0.1184,254
7,Colorado,CO,5758736,0.0356,0.0176,57
8,Connecticut,CT,3565287,0.0052,0.0106,734
9,Delaware,DE,973764,0.0257,0.003,508
10,District Of Columbia,DC,705749,0.018,0.0021,11707
11,Florida,FL,21477737,0.033,0.0656,409
12,Georgia,GA,10617423,0.0303,0.0324,188
13,Guam,GU,NaN,NaN,NaN,NaN
14,Hawaii,HI,1415872,0.01,0.0042,219
15,Idaho,ID,1787065,0.0626,0.0056,23
16,Illinois,IL,12671821,0.0121,0.0376,226
17,Indiana,IN,6732219,0.0165,0.0203,190
18,Iowa,IA,3155070,0.0061,0.0095,57
19,Kansas,KS,2913314,0.002,0.0087,36
20,Kentucky,KY,4467673,0.0044,0.0134,113
21,Louisiana,LA,4648794,0.007,0.0138,107
22,Maine,ME,1344212,0.0115,0.004,44
23,Maryland,MD,6045680,0.0049,0.0181,625
24,Massachusetts,MA,6892503,0.0043,0.0207,886
25,Michigan,MI,9986857,0.0008,0.0299,177
26,Minnesota,MN,5639632,0.0179,0.0171,72
27,Mississippi,MS,2976149,0.0049,0.0089,63
28,Missouri,MO,6137428,0.0077,0.0184,90
29,Montana,MT,1068778,0.0229,0.0032,7
30,Nebraska,NE,1934408,0.0137,0.0058,25
31,Nevada,NV,3080156,0.0523,0.0095,29
32,New Hampshire,NH,1359711,0.0138,0.0041,153
33,New Jersey,NJ,8882190,0.0013,0.0265,1207
34,New Mexico,NM,2096829,0.0059,0.0063,17
35,New York,NY,19453561,0.0118,0.0577,410
36,North Carolina,NC,10488084,0.0308,0.032,220
37,North Dakota,ND,762062,0.0158,0.0023,11
38,Northern Mariana Islands,MP,NaN,NaN,NaN,NaN
39,Ohio,OH,11689100,0.0033,0.035,287
40,Oklahoma,OK,3956971,0.0127,0.0119,58
41,Oregon,OR,4217737,0.0257,0.0128,45
42,Pennsylvania,PA,12801989,0.0002,0.0383,286
43,Puerto Rico,PR,3386941,0.0003,0.0095,923
44,Rhode Island,RI,1059361,0.003,0.0032,1027
45,South Carolina,SC,5148714,0.0381,0.0158,176
46,South Dakota,SD,884659,0.0204,0.0027,12
47,Tennessee,TN,6829174,0.0255,0.0208,168
48,Texas,TX,28995881,0.0385,0.0889,114
49,United States Virgin Islands,VI,NaN,NaN,NaN,NaN
50,Utah,UT,3205958,0.0499,0.0099,40
51,Vermont,VT,623989,0.0018,0.0019,68
52,Virginia,VA,8535519,0.0121,0.0257,218
53,Washington,WA,7614893,0.0363,0.0233,117
54,West Virginia,AV,1792147,0.0202,0.0053,74
55,Wisconsin,WI,5822434,0.0078,0.0175,108
56,Wyoming,WY,578759,0.006,0.0017,6
