state_name,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,TotalTests,state_population,date
California,3635598,,56824,,1914453,1664321,51601716,39512223,3/20/2021
Texas,2749440,,47257,,2590824,111359,24507017,28995881,3/20/2021
Florida,1994117,,32613,,1329665,631839,24357867,21477737,3/20/2021
New York,1811288,,49539,,932935,828814,42015555,19453561,3/20/2021
Illinois,1216090,,23287,,1135756,57047,19389098,12671821,3/20/2021
Georgia,1040817,,18420,,596487,425910,8058303,10617423,3/20/2021
Ohio,995785,,17992,,946602,31191,10591209,11689100,3/20/2021
Pennsylvania,985066,2944,24886,32,898699,61481,11158837,12801989,3/20/2021
North Carolina,891314,,11783,,852732,26799,10900126,10488084,3/20/2021
New Jersey,853349,,24076,,627532,201741,11474078,8882190,3/20/2021
Arizona,834607,,16645,,785612,32350,4401682,7278717,3/20/2021
Tennessee,796624,,11681,,772665,12278,7034682,6829174,3/20/2021
Michigan,683398,,16843,,556697,109858,11570859,9986857,3/20/2021
Indiana,675388,,12907,,520198,142283,8556561,6732219,3/20/2021
Massachusetts,608318,,16759,,565929,25630,17714455,6892503,3/20/2021
Virginia,600550,,10182,,49395,540973,8043259,8535519,3/20/2021
Wisconsin,571220,,6556,,558115,6549,3249111,5822434,3/20/2021
Missouri,568926,,8914,,386465,173547,5866988,6137428,3/20/2021
South Carolina,537498,,8938,,,,6433793,5148714,3/20/2021
Alabama,510048,,10391,,310742,188915,2492531,4903185,3/20/2021
Minnesota,501458,,6830,,485358,9270,7847879,5639632,3/20/2021
Colorado,446580,,6142,,299195,141243,2662341,5758736,3/20/2021
Louisiana,439543,,9974,,426243,3326,6311156,4648794,3/20/2021
Oklahoma,434075,,4788,,417734,11553,3671576,3956971,3/20/2021
Kentucky,419149,,5504,,48964,364681,4739044,4467673,3/20/2021
Maryland,397898,1152,8132,19,9797,379969,8433019,6045680,3/20/2021
Utah,380340,,2041,,367018,11281,4066552,3205958,3/20/2021
Iowa,372868,428,5672,,326506,40690,4303965,3155070,3/20/2021
Washington,356063,,5230,,176006,174827,5630802,7614893,3/20/2021
Arkansas,328045,,5515,,319771,2759,3299489,3017804,3/20/2021
Mississippi,301924,,6938,,287341,7645,2560505,2976149,3/20/2021
Kansas,301763,,4850,,282625,14288,1293893,2913314,3/20/2021
Nevada,300415,,5157,,269236,26022,2863567,3080156,3/20/2021
Connecticut,295484,,7822,,259572,28090,7274861,3565287,3/20/2021
Nebraska,205539,,2130,,158999,44410,986473,1934408,3/20/2021
New Mexico,189158,,3877,,169889,15392,2885907,2096829,3/20/2021
Idaho,176802,,1938,,98510,76354,1148603,1787065,3/20/2021
Oregon,160622,,2353,,141121,17148,4021248,4217737,3/20/2021
West Virginia,137092,376,2600,30,129143,5349,2341373,1792147,3/20/2021
Rhode Island,132616,,2594,,8124,121898,3301005,1059361,3/20/2021
South Dakota,115203,,1919,,111120,2164,435353,884659,3/20/2021
Montana,102616,,1406,,100217,993,1151030,1068778,3/20/2021
North Dakota,101403,,1459,,99171,773,410293,762062,3/20/2021
Delaware,91425,,1517,,83108,6800,647072,973764,3/20/2021
New Hampshire,79702,,1207,,76155,2340,1794066,1359711,3/20/2021
Alaska,58580,,306,,50446,7828,1820986,731545,3/20/2021
Wyoming,55479,,693,,54378,408,668703,578759,3/20/2021
Maine,48070,238,728,1,12909,34433,1996240,1344212,3/20/2021
District Of Columbia,42892,,1046,,30631,11215,1314784,705749,3/20/2021
Hawaii,28509,,451,,,,1199823,1415872,3/20/2021
Vermont,17247,,217,,14507,2523,1214526,623989,3/20/2021
Puerto Rico,194704,1093,2089,4,93486,99129,464073,3386941,3/20/2021
Guam,7780,,134,,7618,28,136135,,3/20/2021
United States Virgin Islands,2804,,25,,,,50108,,3/20/2021
Northern Mariana Islands,157,,2,,,,26131,,3/20/2021
American Samoa,3,,,,3,0,,,3/20/2021
