Education Attained,Count,Percentage,state_name
Less Than 9th Grade,142999.0,4.31%,Alabama
9th to 12th Grade,315923.0,9.51%,Alabama
High School Graduate,1022840.0,30.80%,Alabama
Some College,711028.0,21.41%,Alabama
Associates Degree,282316.0,8.50%,Alabama
Bachelors Degree,529178.0,15.93%,Alabama
Graduate Degree,316594.0,9.53%,Alabama
Less Than 9th Grade,12046.0,2.51%,Alaska
9th to 12th Grade,22330.0,4.65%,Alaska
High School Graduate,134582.0,28.00%,Alaska
Some College,128500.0,26.74%,Alaska
Associates Degree,41109.0,8.55%,Alaska
Bachelors Degree,88058.0,18.32%,Alaska
Graduate Degree,53961.0,11.23%,Alaska
Less Than 9th Grade,257948.0,5.45%,Arizona
9th to 12th Grade,350689.0,7.41%,Arizona
High School Graduate,1129130.0,23.86%,Arizona
Some College,1191930.0,25.19%,Arizona
Associates Degree,408312.0,8.63%,Arizona
Bachelors Degree,869452.0,18.37%,Arizona
Graduate Degree,525074.0,11.09%,Arizona
Less Than 9th Grade,97346.0,4.84%,Arkansas
9th to 12th Grade,172822.0,8.59%,Arkansas
High School Graduate,684659.0,34.03%,Arkansas
Some College,449597.0,22.35%,Arkansas
Associates Degree,143979.0,7.16%,Arkansas
Bachelors Degree,297250.0,14.78%,Arkansas
Graduate Degree,165986.0,8.25%,Arkansas
Less Than 9th Grade,2432990.0,9.19%,California
9th to 12th Grade,1985680.0,7.50%,California
High School Graduate,5423460.0,20.49%,California
Some College,5574860.0,21.06%,California
Associates Degree,2073820.0,7.83%,California
Bachelors Degree,5603050.0,21.17%,California
Graduate Degree,3377680.0,12.76%,California
Less Than 9th Grade,129123.0,3.38%,Colorado
9th to 12th Grade,186628.0,4.88%,Colorado
High School Graduate,817452.0,21.37%,Colorado
Some College,805339.0,21.05%,Colorado
Associates Degree,321903.0,8.41%,Colorado
Bachelors Degree,981017.0,25.64%,Colorado
Graduate Degree,584117.0,15.27%,Colorado
Less Than 9th Grade,99837.0,4.02%,Connecticut
9th to 12th Grade,132826.0,5.35%,Connecticut
High School Graduate,666828.0,26.85%,Connecticut
Some College,416175.0,16.76%,Connecticut
Associates Degree,191964.0,7.73%,Connecticut
Bachelors Degree,541380.0,21.80%,Connecticut
Graduate Degree,434085.0,17.48%,Connecticut
Less Than 9th Grade,23675.0,3.54%,Delaware
9th to 12th Grade,43141.0,6.45%,Delaware
High School Graduate,209449.0,31.29%,Delaware
Some College,126281.0,18.87%,Delaware
Associates Degree,52636.0,7.86%,Delaware
Bachelors Degree,124632.0,18.62%,Delaware
Graduate Degree,89506.0,13.37%,Delaware
Less Than 9th Grade,718909.0,4.80%,Florida
9th to 12th Grade,1048670.0,7.01%,Florida
High School Graduate,4276240.0,28.57%,Florida
Some College,2981480.0,19.92%,Florida
Associates Degree,1468740.0,9.81%,Florida
Bachelors Degree,2827940.0,18.90%,Florida
Graduate Degree,1643760.0,10.98%,Florida
Less Than 9th Grade,318461.0,4.62%,Georgia
9th to 12th Grade,567037.0,8.23%,Georgia
High School Graduate,1909070.0,27.71%,Georgia
Some College,1397950.0,20.29%,Georgia
Associates Degree,538144.0,7.81%,Georgia
Bachelors Degree,1324800.0,19.23%,Georgia
Graduate Degree,832815.0,12.09%,Georgia
Less Than 9th Grade,36701.0,3.70%,Hawaii
9th to 12th Grade,43020.0,4.33%,Hawaii
High School Graduate,271648.0,27.36%,Hawaii
Some College,207661.0,20.91%,Hawaii
Associates Degree,106509.0,10.73%,Hawaii
Bachelors Degree,215777.0,21.73%,Hawaii
Graduate Degree,111689.0,11.25%,Hawaii
Less Than 9th Grade,37255.0,3.34%,Idaho
9th to 12th Grade,65674.0,5.89%,Idaho
High School Graduate,305181.0,27.36%,Idaho
Some College,290307.0,26.02%,Idaho
Associates Degree,109602.0,9.82%,Idaho
Bachelors Degree,207179.0,18.57%,Idaho
