state_name,state_population,state_pop_growth,state_us_percent,state_density
California,39613500,0.0038,0.1184,254
Texas,29730300,0.0385,0.0889,114
Florida,21944600,0.033,0.0656,409
New York,19300000,0.0118,0.0577,410
Pennsylvania,12804100,0.0002,0.0383,286
Illinois,12569300,0.0121,0.0376,226
Ohio,11714600,0.0033,0.035,287
Georgia,10830000,0.0303,0.0324,188
North Carolina,10701000,0.0308,0.032,220
Michigan,9992430,0.0008,0.0299,177
New Jersey,8874520,0.0013,0.0265,1207
Virginia,8603980,0.0121,0.0257,218
Washington,7796940,0.0363,0.0233,117
Arizona,7520100,0.0506,0.0225,66
Tennessee,6944260,0.0255,0.0208,168
Massachusetts,6912240,0.0043,0.0207,886
Indiana,6805660,0.0165,0.0203,190
Missouri,6169040,0.0077,0.0184,90
Maryland,6065440,0.0049,0.0181,625
Colorado,5893630,0.0356,0.0176,57
Wisconsin,5852490,0.0078,0.0175,108
Minnesota,5706400,0.0179,0.0171,72
South Carolina,5277830,0.0381,0.0158,176
Alabama,4934190,0.0095,0.0147,97
Louisiana,4627000,0.007,0.0138,107
Kentucky,4480710,0.0044,0.0134,113
Oregon,4289440,0.0257,0.0128,45
Oklahoma,3990440,0.0127,0.0119,58
Connecticut,3552820,0.0052,0.0106,734
Utah,3310770,0.0499,0.0099,40
Puerto Rico,3194370,0.0003,0.0095,923
Nevada,3185790,0.0523,0.0095,29
Iowa,3167970,0.0061,0.0095,57
Arkansas,3033950,0.008,0.0091,58
Mississippi,2966410,0.0049,0.0089,63
Kansas,2917220,0.002,0.0087,36
New Mexico,2105000,0.0059,0.0063,17
Nebraska,1952000,0.0137,0.0058,25
Idaho,1860120,0.0626,0.0056,23
West Virginia,1767860,0.0202,0.0053,74
Hawaii,1406430,0.01,0.0042,219
New Hampshire,1372200,0.0138,0.0041,153
Maine,1354520,0.0115,0.004,44
Montana,1085000,0.0229,0.0032,7
Rhode Island,1061510,0.003,0.0032,1027
Delaware,990334,0.0257,0.003,508
South Dakota,896581,0.0204,0.0027,12
North Dakota,770026,0.0158,0.0023,11
Alaska,724357,0.0147,0.0022,1
District of Columbia,714153,0.018,0.0021,11707
Vermont,623251,0.0018,0.0019,68
Wyoming,581075,0.006,0.0017,6
